439201,CPSC,TR,75,930,Capstone Project,Software Engineering.Software Development Methodologies:
439202,CPSC,MWF,50,1330,Capstone Project,Software Engineering.Software Development Methodologies:
436001,CPSC,MWF,50,930,Computer Security,Software Engineering.Cyber Security:436002,CPSC,T,150,1430,Computer Security,Software Engineering.Cyber Security:
438701,CPSC,MT,75,1030,Distributed Computing,Programming Languages.Parallel and Distributed Systems:
437901,CPSC,TR,75,930,Principle of UI & UX,Mobile Applications.Game Development:
437902,CPSC,MW,75,1400,Principle of UI & UX,Mobile Applications.Game Development:
437001,CPSC,MWF,50,1230,Theory of Computers,Theory of Computation:
439901,CPSC,MTW,50,830,Special Topics,Networks.Operating Systems:
439902,CPSC,R,150,1130,Special Topics,Networks.Operating Systems:
436601,CPSC,TWR,50,830,Interactive Computer and Graphics& Animations,Artificial Intelligence.Game Development:
436602,CPSC,F,150,1230,Interactive Computer and Graphics& Animations,Artificial Intelligence.Game Development:
436801,CPSC,MR,75,1030,3D Modeling for Game Designs,Game Development.Virtual Reality:
436802,CPSC,TW,75,1100,3D Modeling for Game Designs,Game Development.Virtual Reality:
437301,CPSC,TWR,50,1300,Software Engineering,Programming-C++.Programming-Python:
437302,CPSC,RF,75,1500,Software Engineering,Programming-C++.Programming-Python:
438001,CPSC,MT,75,1130,Web Stack Client Side Technology,Programming Languages.Data Structures and Algorithms:
438002,CPSC,R,150,1230,Web Stack Client Side Technology,Programming Languages.Data Structures and Algorithms:
450001,CPSC,MW,75,1430,Independent Study,Operating Systems.Mobile Applications:
337701,CPSC,TRF,50,1200,Advanced Game Programming,Programming-C++.Programming-Python.Data Structures and Algorithms:
337702,CPSC,M,150,1600,Advanced Game Programming,Programming-C++.Programming-Python.Data Structures and Algorithms:
338001,CPSC,TRF,50,1600,Operating Systems,Hardware Designs.Data Structures and Algorithms:
338201,CPSC,WRF,50,1530,RPG Programming,Programming Languages:
338401,CPSC,WRF,50,1700,Computer Networks,Networks.Computer Organization:
237601,CPSC,MWR,50,1700,Programming II,Software Engineering.Software Development Methodologies:
237701,CPSC,TRF,50,1430,Introduction to Game Programming,Artificial Intelligence.Game Development.Mobile Applications:
238001,CPSC,RF,75,1830,	Algorithm,Networks.Programming Languages:137501,CPSC,MWF,50,1700,Programming I,Programming Languages.Mobile Applications:
336701,CPSC,TWR,50,1930,Mobile Application Development,Mobile Applications.Programming Languages.Software Engineering
